"Location Name","Location Name ZH","Thai / Alt Name","Google Maps URL","Category","Notes","Notes ZH","Source URL","Source Tags","Verification Status","Lat","Lng","Icon","Country Code","Destination Key","Slug"
"Cafe Ban Nok by Ple Venus","Cafe Ban Nok by Ple Venus","คาเฟ่ บ้านนอก byเปิ้ล วีนัส","https://maps.app.goo.gl/uPJBwfi7ucojwVCV6","Cafe","LingOrm cooking - Ling's papaya salad, Om's grilled chicken, something new. Orm is daughter in law of Isan!
https://www.youtube.com/watch?v=7CbjAuWpVPk","LingOrm 烹飪 - Ling 的木瓜沙拉、Om 的烤雞，還有一些新菜式。Orm 是伊桑媳婦！
https://www.youtube.com/watch?v=7CbjAuWpVPk","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7726270","100.6301368","☕","TH","bangkok","cafe-ban-nok-by-ple-venus"
"Cafe Madeleine (Four Seasons Bangkok)","瑪德蓮咖啡（曼谷四季酒店）","","https://www.google.com/maps/place/%E7%91%AA%E5%BE%B7%E8%93%AE%E5%92%96%E5%95%A1/@13.7120101,100.5101757,16z/data=!4m6!3m5!1s0x30e2994d7fa33f29:0x84e46528a1160dbd!8m2!3d13.7120101!4d100.5101757!16s%2Fg%2F11j90d7zs1","Cafe","Riverside patisserie/cafe on the ground floor of Four Seasons Hotel Bangkok at Chao Phraya River (300/1 Charoen Krung Rd, Yan Nawa, Sathon). Known for artisanal cakes, pastries, croissants and signature madeleines; open daily 7am-7pm. Cited in a LingOrm fan Threads post praising the desserts and bread as a place Orm (Kornnaphat) visited.","位於曼谷四季酒店（湄南河畔）一樓的河景甜點咖啡廳，以手工蛋糕、可頌、麵包與招牌瑪德蓮聞名，每日07:00-19:00營業。Threads貼文提到Orm（Kornnaphat）去過，稱讚每樣甜點和麵包都好吃。","https://www.threads.com/@littleb20/post/Daxp6E1ktFh","Threads","Published","13.7120101","100.5101757","☕","TH","bangkok","cafe-madeleine-four-seasons-bangkok"
"Chagô","Chagô 飲品店","ชาโก้","https://www.google.com/maps/search/?api=1&query=Chago+ชาโก้+Bangkok","Beverages","Photogenic Thai drink brand; listed on Lingorm's Trip.com map. @my_go_go_d also visited (reviewer noted feeling shy taking photos 😅).","上鏡感十足的泰國飲品品牌，出現在 Lingorm 的 Trip.com 地圖中。@my_go_go_d 也曾到訪，留言提到拍照會有點害羞。","https://tw.trip.com/moments/detail/bangkok-191-140507082/, https://www.threads.com/@my_go_go_d/post/DDVt-bayjvt","Trip.com, Threads","Published","13.7445590","100.5335330","🧋","TH","bangkok","chag"
"CHAGÔ ชาโก้ - EmQuartier","CHAGÔ 飲品店（EmQuartier）","","https://www.google.com/maps/search/?api=1&query=CHAG%C3%94+%E0%B8%8A%E0%B8%B2%E0%B9%82%E0%B8%81%E0%B9%89+-+EmQuartier+Sukhumvit+Rd%2C+Khlong+Tan+Nuea%2C+Watthana%2C+Bangkok+10110","Beverages","Chagô branch 2.","Chago分店2","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7304980","100.5694680","🥤","TH","bangkok","chag-emquartier"
"CHANN | Bangkok-Noi","CHANN Bangkok-Noi 酒店","","https://www.google.com/maps/search/?api=1&query=CHANN+%7C+Bangkok-Noi+30%2F1+Soi+Somdej+Pra+Pinklaow+1%2C+Arun+Amarin%2C+Bangkok+Noi%2C+Bangkok+10700","Hotel","LingOrm x LenaMiu

Dining and photo spot featured in the show.

https://youtu.be/aBAsJtWeriw","LingOrm x LenaMiu

節目內用餐 + 拍照點
Dine in and photo spot

https://youtu.be/aBAsJtWeriw","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7614660","100.4868380","🏨","TH","bangkok","chann-bangkok-noi"
"Channel 3 Thailand (CH3)","泰國第 3 電視台（CH3）","","https://maps.app.goo.gl/CTfAHfTTBmHV7MYS6","Filming Location","Broadcasting compound of Thai TV channel 3; Lingorm's home studio. Area has a cafe with good orange coffee & a nearby fried chicken stall (possibly closed). Fan pilgrimage.","泰國第 3 電視台的廣播／拍攝園區，也是 Lingorm 的主場工作地。附近有橙子咖啡不錯的咖啡店與可能已停業的炸雞攤，是粉絲朝聖點。","https://www.threads.com/@nightviper74/post/DId7paOJUKp","Threads","Published","13.7170490","100.5725040","📺","TH","bangkok","channel-3-thailand-ch3"
"Chatuchak Weekend Market","札都甲週末市集","ตลาดนัดจตุจักร","https://www.google.com/maps/search?api=1&query=Chatuchak+Weekend+Market+Kamphaeng+Phet+2+Rd%2C+Chatuchak%2C+Bangkok","Shopping","One of the world's largest weekend markets on Kamphaeng Phet 2 Rd, Chatuchak, with 15,000+ stalls across 27 sections selling clothes, antiques, plants, food, pets, and crafts. Weekends only; Entrance 2 is near Chatuchak Park, close to MRT Kamphaeng Phet / BTS Mo Chit.","位於Kamphaeng Phet 2路、札都甲區的世界最大週末市集之一，超過15000個攤位分為27個分區，販售服飾、古董、植物、美食、寵物與手作。僅週末營業；第2入口鄰近札都甲公園，靠近地鐵甘烹碧站和輕軌蒙奇站。","https://en.wikipedia.org/wiki/Chatuchak_Weekend_Market","","Paused","13.7998000","100.5501000","🛍","TH","bangkok","chatuchak-weekend-market"
"Chin Bo Dang","Chin Bo Dang","","https://www.google.com/maps/search/?api=1&query=Chin+Bo+Dang+693+Sukhumvit+Rd%2C+Khlong+Tan+Nuea%2C+Watthana%2C+Bangkok+10110","Restaurant","Lingling’s Instagram Story.
https://www.threads.com/@___epoh___/post/DRup2Pikl9oo","Lingling’s Instagram Story
https://www.threads.com/@___epoh___/post/DRup2Pikl9oo","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7304980","100.5694680","🍽","TH","bangkok","chin-bo-dang"
"Chin Bo Dang - Central World","Chin Bo Dang（Central World）","","https://www.google.com/maps/search/?api=1&query=Chin+Bo+Dang+-+Central+World+999%2F9+Rama+I+Rd%2C+Pathum+Wan%2C+Bangkok+10330","Shopping","Lingling’s Instagram Story.
https://www.threads.com/@___epoh___/post/DRup2Pikl9oo","Lingling’s Instagram Story
https://www.threads.com/@___epoh___/post/DRup2Pikl9oo","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7461980","100.5393240","🛍","TH","bangkok","chin-bo-dang-central-world"
"Chom Arun Restaurant","Chom Arun 河景泰式餐廳","ร้านอาหารชมอรุณ","https://www.google.com/maps/place/%E3%83%81%E3%83%A7%E3%83%A0%E3%82%A2%E3%83%AB%E3%83%B3/@13.7440478,100.4917704,134m/data=!3m1!1e3!4m6!3m5!1s0x30e2999fb1b0ce83:0x9cae758521ab2c63!8m2!3d13.7440478!4d100.4917704!16s%2Fg%2F11gmxplw3x","Restaurant","Riverside Thai restaurant at 392/53 Maha Rat Rd near Wat Arun, three floors including a rooftop with sunset views over the Chao Phraya River. Known for tom yum, crab curry, pad Thai; rooftop seats need ~1 month advance booking.","位於湄南河畔、鄰近鄭王廟(Wat Arun)的泰式餐廳（392/53 Maha Rat Rd），共三層樓含頂樓河景座位，招牌菜有冬蔭功、蟹肉咖哩、泰式炒河粉；頂樓座位需提前約一個月訂位。","https://www.chomarunbangkok.com/","","Paused","13.7440480","100.4917700","🍽","TH","bangkok","chom-arun-restaurant"
"Churn Buttery","Churn Buttery 咖啡店","","https://www.google.com/maps/place/Churn+Buttery/@13.7425254,100.7470531,17z/data=!3m1!4b1!4m6!3m5!1s0x311d674396257e83:0x5a5346632361f832!8m2!3d13.7425254!4d100.7470531!16s%2Fg%2F11nnq_t73_?entry=ttu","Cafe","LingOrm made a cameo appearance at the café featured in Fulfill. https://youtu.be/EGVMsd6VrZs?si=8AtqQHJ8e0tCveJ8","LingOrm 曾去客串《讓愛圓滿》的咖啡店
https://youtu.be/EGVMsd6VrZs?si=8AtqQHJ8e0tCveJ8","https://www.threads.com/@littleb20/post/DavUt2UEhJa","Threads","Published","13.7425254","100.7470531","☕","TH","bangkok","churn-buttery-lat-krabang"
"ทิพย์วารี  (convenience store)","ทิพย์วารี 蝦餅店","ทิพย์วารี","https://www.google.com/maps/search/?api=1&query=%E0%B8%97%E0%B8%B4%E0%B8%9E%E0%B8%A2%E0%B9%8C%E0%B8%A7%E0%B8%B2%E0%B8%A3%E0%B8%B5+%28convenience+store%29+Sukhumvit+area%2C+Bangkok","Shopping","Shrimp crackers that Lingling likes; they are also sold at the grocery store next door.","鄺鄺愛吃的蝦餅，隔壁的雜貨舖也有賣","https://www.threads.com/@littleb20/post/DXWhSF2EsUj","Threads","Published","13.8055150","100.6074893","🛍","TH","bangkok","convenience-store"
"Davin Cafe","Davin 咖啡廳","","https://www.google.com/maps/search/?api=1&query=Davin+Cafe+Nawamin+Bangkok","Cafe","Café at 108 Khlong Lam Chiak Rd, Nawamin, Bueng Kum. Lingorm/Orm-associated per Douban compilation.","限動 orm喝的咖啡店","https://www.douban.com/group/topic/311908182/","Douban","Published","13.8218568","100.6272665","☕","TH","bangkok","davin-cafe"
"Dear December Cafe","Dear December 咖啡廳","ดีร์ ดีเซมเบอร์ คาเฟ่","https://maps.app.goo.gl/AGj1dx5tErVob5Yf8","Cafe","Café opened by Booky. Far from city center — Grab/Bolt hard to get, taxis may overcharge (฿300 reported). Pre-order cakes via LINE official account. Clean, photogenic space with huge Instax wall. Menu: Bear cake ฿110 (dry sponge, good banana sauce), Fruit cake ฿135, Corn cake ฿135 (unique first bite, gets cloying), Lemon matcha ฿135 (Xiao Ao same drink). ","Booky開的咖啡廳。離市區有點遠建議叫車去，不過grab和bolt都不好叫，叫計程車要小心不要被坑（那天花了฿300搭過去被Booky爸爸說太貴了）。想吃什麼蛋糕可以提前留言給官方賴，他們說只要提前講就會確保那天有賣。整體環境很乾淨舒服，很好拍照，適合久坐，拍立得牆很壯觀。小熊蛋糕฿110、水果蛋糕฿135、玉米蛋糕฿135、檸檬抹茶฿135。","https://www.threads.com/@ddding._.dong/post/DMNK2DoxybR","Threads","Published","13.6756570","100.6446640","☕","TH","bangkok","dear-december-cafe"
"迪奧咖啡 曼谷 (Dior Cafe Bangkok)","迪奧咖啡 曼谷","","https://www.google.com/maps/search/?api=1&query=%E8%BF%AA%E5%A5%A7%E5%92%96%E5%95%A1+%E6%9B%BC%E8%B0%B7+%28Dior+Cafe+Bangkok%29+1029+Phloen+Chit+Rd%2C+Lumphini%2C+Pathum+Wan%2C+Bangkok+10330","Cafe","Dior Cafe","Dior Cafe","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7441550","100.5451990","☕","TH","bangkok","dior-cafe-bangkok"
"Dragon Town (Banthat Thong)","Dragon Town 龍城打卡地標（邦拉塞通）","ดราก้อนทาวน์","","Neighbourhood","Chinese-Portuguese style photo-spot complex on Soi Chula 5 near Chulalongkorn University / Banthat Thong Road, with shops, cafes, and restaurants. Open daily 10:00-22:00, free entry.","位於朱拉五巷、鄰近朱拉隆功大學／邦拉塞通路的中葡風格打卡地標園區，內有商店、咖啡廳與餐廳，每日10:00-22:00免費入場。","https://www.wongnai.com/reviews/78a98b33d775407aa06d8a1bdd1671e2","","Paused","","","🏘️","","","dragon-town-banthat-thong"
"Eak-O-Cha stewed beef","Eak-O-Cha 燉牛肉","เนื้อตุ๋นเอกโอชา","https://www.google.com/maps/place/Eak-O-Cha+stewed+beef/@13.794076,100.6088667,17z/data=!3m1!4b1!4m6!3m5!1s0x30e29d9bbb2e17db:0xd900846d595ecf64!8m2!3d13.794076!4d100.6088667!16s%2Fg%2F11td_psn89?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Restaurant","Recommended by Lingling on Instagram.
Lingling Instagram","鄺鄺 IG 推薦
Lingling Instagram","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7940760","100.6088670","🍽","TH","bangkok","eak-o-cha-stewed-beef"
"Ekamai Mookata","Ekamai 泰式燒烤火鍋","เอกมัยหมูกระทะ","https://www.google.com/maps/place/Ekamai+Mookata/@13.7357654,100.5892865,17z/data=!3m1!4b1!4m6!3m5!1s0x30e29f60213af8ef:0xb0ef589211791d08!8m2!3d13.7357654!4d100.5892865!16s%2Fg%2F11kjgm274z?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Restaurant","Mookata (BBQ hot-pot) restaurant in Ekamai area; Lingorm ate here during a livestream. Exact name not given—'Ekamai Mookata' is ambiguous. Address confirmed via Douban: 392 Ekkamai 24 Alley, Khlong Tan Nua, Watthana, Bangkok 10110.","位於 Ekamai 一帶的泰式燒烤火鍋店；00直播“ i love you 黑粉 ”烤肉店。","https://www.kkday.com/zh-hk/blog/111889/lingorm-bangkok-itinerary-attractions-guide, https://www.douban.com/group/topic/311908182/","KKday, Douban","Published","13.7357654","100.5892865","🍖","TH","bangkok","ekamai-mookata"
"Everyday MooKrata","Everyday 泰式燒烤火鍋","Everyday Mookrata & Lobster City","https://maps.app.goo.gl/1WEvdU7gP5feELu56","Restaurant","Thai BBQ hot-pot (mookrata) restaurant with river views; KKday lists alongside Lobster City as trendy local hotspots Lingorm frequented.","河畔景觀泰式燒烤火鍋店；KKday 將它與 Lobster City 一起列為玲玲去過的潮流在地熱點。","https://www.kkday.com/zh-hk/blog/111889/lingorm-bangkok-itinerary-attractions-guide","KKday","Published","13.7305000","100.5129000","🍖","TH","bangkok","everyday-mookrata"
"Franca | Modern Italian and Fine Steaks","Franca 義式牛排餐廳","","https://www.google.com/maps/search/?api=1&query=Franca+%7C+Modern+Italian+and+Fine+Steaks+Sukhumvit+Rd%2C+Khlong+Tan+Nuea%2C+Watthana%2C+Bangkok+10110","Restaurant","Ling visited.

Ref:
Ling’s Instagram post: https://www.instagram.com/p/DXwUpW5gYRC/

https://www.threads.com/@___epoh___/post/DYK4FpIk7TJ","Ling visited

Ref:
Ling’s IG post: https://www.instagram.com/p/DXwUpW5gYRC/

https://www.threads.com/@___epoh___/post/DYK4FpIk7TJ","https://maps.app.goo.gl/SThB6uC4zygrANNY7, https://www.threads.com/@___epoh___/post/DYK4FpIk7TJ","Threads","Published","13.7357523","100.5570873","🍽","TH","bangkok","franca-modern-italian-and-fine-steaks"
"Gài Yâang Rá Bìiap (grilled chicken and som tum)","Gài Yâang Rá Bìiap 烤雞青木瓜沙拉","","https://www.google.com/maps/place/G%C3%A0i+Y%C3%A2ang+R%C3%A1+B%C3%ACiap+(grilled+chicken+and+som+tum)/@16.4418269,102.8308195,17z/data=!3m1!4b1!4m6!3m5!1s0x31228a41119d95d1:0xe01566e491b7297e!8m2!3d16.4418269!4d102.8308195!16s%2Fg%2F1hm258vhb?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Restaurant","Gai Yang Rabeab (ไก่ย่างระเบียบ) — a top choice in the city! Highly praised by food lovers as the “pinnacle of grilled chicken.”

If you do not want to make a special trip north to Khao Suan Kwang District, this legendary restaurant near central Khon Kaen is the perfect alternative. The owner’s family comes from Khao Suan Kwang itself, and the high-quality free-range chickens used by the chain are delivered fresh from their place of origin every day.

What makes it unique: The restaurant uses a carefully designed “half-grilled, half-roasted” setup that combines a special metal basin with a traditional clay charcoal stove. This slow, indirect charcoal-roasting method allows the heat to circulate evenly. The chicken comes out with perfectly golden, thin, crisp skin, while the meat underneath stays moist and tender with an almost silky richness, showcasing the pure flavor of quality free-range chicken without excessive seasoning.

(It is recommended to arrive before 3:00 PM in case it sells out.)","Gai Yang Rabeab (ไก่ย่างระเบียบ) —— 市區首選！美食家激推的「烤雞天花板」

如果你不想特地跑到北邊的考宣光縣，這家開在孔敬市中心附近的傳奇名店就是你的完美解方。它的店主家族正是來自考宣光本郡，連鎖店所使用的優質土雞也是每天從原產地新鮮運送過來。

獨特之處： 這家店的烤法非常考究，使用的是一種結合了特製金屬盆與傳統黏土小火爐的「半烤半烘」特殊構造。這種慢火間接炭烤的方式，能讓炭火熱度完美地在空間中迴流。烤出來的雞皮呈現極致完美的金黃色，質地薄脆，而皮下的肉質濕潤、細嫩，甚至帶有一種近乎滑順的油脂感，完美呈現了優質走地雞純粹、無添加過多醬料的鮮美原味。

（建議下午三點前入店以免售罄）","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","16.4418270","102.8308190","🍽","TH","khon-kaen","g-i-y-ang-r-b-iap-grilled-chicken-and-som-tum"
"GaGa Udon House","GaGa 烏冬屋","","https://www.google.com/maps/place/GaGa+Udon+House/@13.7364406,100.5740906,17z/data=!3m1!4b1!4m6!3m5!1s0x30e29f042b0652eb:0x586a7ab8cae43c8c!8m2!3d13.7364406!4d100.5740906!16s%2Fg%2F11t10lnc9d?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Restaurant","Udon restaurant on Lingorm's Bangkok map, as listed in Trip.com post.","出現在 Lingorm 曼谷地圖中的烏冬餐廳，來源為 Trip.com 貼文。","https://tw.trip.com/moments/detail/bangkok-191-140507082/","Trip.com","Published","13.7364410","100.5740910","🍜","TH","bangkok","gaga-udon-house"
"Galaxy Enterprise Gaming Thailand","Galaxy Enterprise Gaming Thailand","","https://www.google.com/maps/search/?api=1&query=Galaxy+Enterprise+Gaming+Thailand+4th+floor+Zone+A%2C+Center+444%2C+Wang+Mai%2C+Pathum+Wan%2C+Bangkok+10330","Activity","LenaMiu x LingOrm

https://youtu.be/aHHvnJpOQfY","LenaMiu x LingOrm

https://youtu.be/aHHvnJpOQfY","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7447140","100.5296360","🎯","TH","bangkok","galaxy-enterprise-gaming-thailand"
"Gourmet Market (Siam Paragon)","Gourmet Market 高端超市（暹羅百麗宮）","กูร์เมต์ มาร์เก็ต สยามพารากอน","https://www.google.com/maps/search?api=1&query=Gourmet+Market+Siam+Paragon+991+Rama+I+Rd%2C+Pathum+Wan%2C+Bangkok+10330","Shopping","Premium supermarket on the ground floor of Siam Paragon (991 Rama I Rd) offering imported groceries, fresh seafood and meat, and prepared foods; recently renovated after 17 years into a 'world-class gourmet destination.' Open 10:00-22:00.","位於暹羅百麗宮(Siam Paragon)一樓（991 Rama I Rd）的高端超市，提供進口食材、新鮮海鮮肉類與熟食，近期歷經17年來最大翻新，號稱世界級美食超市。營業時間10:00-22:00。","https://www.siamparagon.co.th/directory/shop/343","","Paused","13.7458000","100.5348000","🛍","TH","bangkok","gourmet-market-siam-paragon"
"漢王廟 (Han Wang Miao)","漢王廟","","https://www.google.com/maps/search/?api=1&query=%E6%BC%A2%E7%8E%8B%E5%BB%9F+%28Han+Wang+Miao%29+1192+Soi+Chareonkrung+22%2C+Talat+Noi%2C+Samphanthawong%2C+Bangkok+10100","Neighbourhood","The temple where LingOrm and Alek went to worship together.

https://youtu.be/FnZI7J3HUU0","LingOrm 和 Alek 一起去拜拜的廟宇

https://youtu.be/FnZI7J3HUU0","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7328800","100.5121800","🏘️","TH","bangkok","han-wang-miao"
